month_date,state,maker,powertrain,registrations
2026-03-01,Assam,MARUTI SUZUKI INDIA LTD,Electric (EV),2
2026-04-01,Assam,MARUTI SUZUKI INDIA LTD,Electric (EV),12
2026-05-01,Assam,MARUTI SUZUKI INDIA LTD,Electric (EV),5
2026-06-01,Assam,MARUTI SUZUKI INDIA LTD,Electric (EV),5
2026-01-01,Assam,MERCEDES-BENZ AG,Electric (EV),1
2026-01-01,Assam,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),12
2026-02-01,Assam,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),18
2026-03-01,Assam,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),14
2026-04-01,Assam,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),24
2026-05-01,Assam,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),41
2026-06-01,Assam,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),10
2026-01-01,Assam,TESLA INDIA MOTORS AND ENERGY PVT LTD,Electric (EV),1
2026-02-01,Bihar,BMW INDIA PVT LTD,Electric (EV),4
2026-03-01,Bihar,BMW INDIA PVT LTD,Electric (EV),1
2026-04-01,Bihar,BMW INDIA PVT LTD,Electric (EV),3
2026-06-01,Bihar,BMW INDIA PVT LTD,Electric (EV),1
2026-03-01,Bihar,HYUNDAI MOTOR INDIA LTD,Electric (EV),2
2026-04-01,Bihar,HYUNDAI MOTOR INDIA LTD,Electric (EV),1
2026-05-01,Bihar,HYUNDAI MOTOR INDIA LTD,Electric (EV),2
2026-06-01,Bihar,HYUNDAI MOTOR INDIA LTD,Electric (EV),1
2026-01-01,Bihar,JSW MG MOTOR INDIA PVT LTD,Electric (EV),12
2026-02-01,Bihar,JSW MG MOTOR INDIA PVT LTD,Electric (EV),12
2026-03-01,Bihar,JSW MG MOTOR INDIA PVT LTD,Electric (EV),11
2026-04-01,Bihar,JSW MG MOTOR INDIA PVT LTD,Electric (EV),15
2026-05-01,Bihar,JSW MG MOTOR INDIA PVT LTD,Electric (EV),17
2026-06-01,Bihar,JSW MG MOTOR INDIA PVT LTD,Electric (EV),5
2026-01-01,Bihar,KIA INDIA PRIVATE LIMITED,Electric (EV),2
2026-02-01,Bihar,KIA INDIA PRIVATE LIMITED,Electric (EV),2
2026-04-01,Bihar,KIA INDIA PRIVATE LIMITED,Electric (EV),3
2026-05-01,Bihar,KIA INDIA PRIVATE LIMITED,Electric (EV),3
2026-06-01,Bihar,KIA INDIA PRIVATE LIMITED,Electric (EV),1
2026-04-01,Bihar,MAHINDRA & MAHINDRA LIMITED,Electric (EV),1
2026-05-01,Bihar,MAHINDRA & MAHINDRA LIMITED,Electric (EV),1
2026-01-01,Bihar,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),12
2026-02-01,Bihar,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),14
2026-03-01,Bihar,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),10
2026-04-01,Bihar,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),31
2026-05-01,Bihar,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),31
2026-06-01,Bihar,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),19
2026-01-01,Bihar,MARUTI SUZUKI INDIA LTD,Electric (EV),9
2026-02-01,Bihar,MARUTI SUZUKI INDIA LTD,Electric (EV),4
2026-03-01,Bihar,MARUTI SUZUKI INDIA LTD,Electric (EV),6
2026-04-01,Bihar,MARUTI SUZUKI INDIA LTD,Electric (EV),8
2026-05-01,Bihar,MARUTI SUZUKI INDIA LTD,Electric (EV),13
2026-06-01,Bihar,MARUTI SUZUKI INDIA LTD,Electric (EV),4
2026-01-01,Bihar,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),100
2026-02-01,Bihar,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),68
2026-03-01,Bihar,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),81
2026-04-01,Bihar,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),114
2026-05-01,Bihar,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),134
2026-06-01,Bihar,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),63
2026-05-01,Bihar,VINFAST AUTO INDIA PVT LTD,Electric (EV),9
2026-06-01,Bihar,VINFAST AUTO INDIA PVT LTD,Electric (EV),1
2026-01-01,Chandigarh,BMW INDIA PVT LTD,Electric (EV),3
2026-03-01,Chandigarh,BMW INDIA PVT LTD,Electric (EV),10
2026-04-01,Chandigarh,BMW INDIA PVT LTD,Electric (EV),3
2026-05-01,Chandigarh,BMW INDIA PVT LTD,Electric (EV),6
2026-06-01,Chandigarh,BMW INDIA PVT LTD,Electric (EV),2
2026-01-01,Chandigarh,BYD INDIA PRIVATE LIMITED,Electric (EV),6
2026-02-01,Chandigarh,BYD INDIA PRIVATE LIMITED,Electric (EV),4
2026-03-01,Chandigarh,BYD INDIA PRIVATE LIMITED,Electric (EV),7
2026-04-01,Chandigarh,BYD INDIA PRIVATE LIMITED,Electric (EV),7
2026-05-01,Chandigarh,BYD INDIA PRIVATE LIMITED,Electric (EV),5
2026-06-01,Chandigarh,BYD INDIA PRIVATE LIMITED,Electric (EV),15
2026-01-01,Chandigarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),5
2026-02-01,Chandigarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),4
2026-03-01,Chandigarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),4
2026-05-01,Chandigarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),6
2026-06-01,Chandigarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),3
2026-01-01,Chandigarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),67
2026-02-01,Chandigarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),35
2026-03-01,Chandigarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),82
2026-04-01,Chandigarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),53
2026-05-01,Chandigarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),53
2026-06-01,Chandigarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),48
2026-01-01,Chandigarh,KIA INDIA PRIVATE LIMITED,Electric (EV),1
2026-02-01,Chandigarh,KIA INDIA PRIVATE LIMITED,Electric (EV),3
2026-03-01,Chandigarh,KIA INDIA PRIVATE LIMITED,Electric (EV),5
2026-04-01,Chandigarh,KIA INDIA PRIVATE LIMITED,Electric (EV),2
2026-05-01,Chandigarh,KIA INDIA PRIVATE LIMITED,Electric (EV),3
2026-06-01,Chandigarh,KIA INDIA PRIVATE LIMITED,Electric (EV),1
2026-01-01,Chandigarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),2
2026-02-01,Chandigarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),2
2026-03-01,Chandigarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),1
2026-04-01,Chandigarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),2
2026-05-01,Chandigarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),1
2026-01-01,Chandigarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),67
2026-02-01,Chandigarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),46
2026-03-01,Chandigarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),71
2026-04-01,Chandigarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),65
2026-05-01,Chandigarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),63
2026-06-01,Chandigarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),75
2026-01-01,Chandigarh,MARUTI SUZUKI INDIA LTD,Electric (EV),2
2026-02-01,Chandigarh,MARUTI SUZUKI INDIA LTD,Electric (EV),5
2026-03-01,Chandigarh,MARUTI SUZUKI INDIA LTD,Electric (EV),8
2026-04-01,Chandigarh,MARUTI SUZUKI INDIA LTD,Electric (EV),7
2026-05-01,Chandigarh,MARUTI SUZUKI INDIA LTD,Electric (EV),8
2026-06-01,Chandigarh,MARUTI SUZUKI INDIA LTD,Electric (EV),5
2026-02-01,Chandigarh,MERCEDES-BENZ AG,Electric (EV),1
2026-04-01,Chandigarh,MERCEDES-BENZ AG,Electric (EV),4
2026-06-01,Chandigarh,MERCEDES-BENZ AG,Electric (EV),1
2026-01-01,Chandigarh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),1
2026-03-01,Chandigarh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),1
2026-01-01,Chandigarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),86
2026-02-01,Chandigarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),46
2026-03-01,Chandigarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),74
2026-04-01,Chandigarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),106
2026-05-01,Chandigarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),88
2026-06-01,Chandigarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),61
2026-01-01,Chandigarh,TESLA INDIA MOTORS AND ENERGY PVT LTD,Electric (EV),1
2026-05-01,Chandigarh,TESLA INDIA MOTORS AND ENERGY PVT LTD,Electric (EV),1
2026-06-01,Chandigarh,TESLA INDIA MOTORS AND ENERGY PVT LTD,Electric (EV),1
2026-01-01,Chandigarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),4
2026-02-01,Chandigarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),2
2026-03-01,Chandigarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),15
2026-04-01,Chandigarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),12
2026-05-01,Chandigarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),5
2026-06-01,Chandigarh,VINFAST AUTO INDIA PVT LTD,Electric (EV),16
2026-01-01,Chhattisgarh,BMW INDIA PVT LTD,Electric (EV),3
2026-02-01,Chhattisgarh,BMW INDIA PVT LTD,Electric (EV),3
2026-03-01,Chhattisgarh,BMW INDIA PVT LTD,Electric (EV),5
2026-04-01,Chhattisgarh,BMW INDIA PVT LTD,Electric (EV),3
2026-05-01,Chhattisgarh,BMW INDIA PVT LTD,Electric (EV),4
2026-01-01,Chhattisgarh,BYD INDIA PRIVATE LIMITED,Electric (EV),1
2026-03-01,Chhattisgarh,BYD INDIA PRIVATE LIMITED,Electric (EV),2
2026-04-01,Chhattisgarh,BYD INDIA PRIVATE LIMITED,Electric (EV),3
2026-05-01,Chhattisgarh,BYD INDIA PRIVATE LIMITED,Electric (EV),3
2026-06-01,Chhattisgarh,BYD INDIA PRIVATE LIMITED,Electric (EV),1
2026-01-01,Chhattisgarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),4
2026-02-01,Chhattisgarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),5
2026-03-01,Chhattisgarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),12
2026-04-01,Chhattisgarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),8
2026-05-01,Chhattisgarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),8
2026-06-01,Chhattisgarh,HYUNDAI MOTOR INDIA LTD,Electric (EV),1
2026-01-01,Chhattisgarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),51
2026-02-01,Chhattisgarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),65
2026-03-01,Chhattisgarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),72
2026-04-01,Chhattisgarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),57
2026-05-01,Chhattisgarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),73
2026-06-01,Chhattisgarh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),5
2026-01-01,Chhattisgarh,KIA INDIA PRIVATE LIMITED,Electric (EV),2
2026-02-01,Chhattisgarh,KIA INDIA PRIVATE LIMITED,Electric (EV),2
2026-03-01,Chhattisgarh,KIA INDIA PRIVATE LIMITED,Electric (EV),4
2026-04-01,Chhattisgarh,KIA INDIA PRIVATE LIMITED,Electric (EV),3
2026-05-01,Chhattisgarh,KIA INDIA PRIVATE LIMITED,Electric (EV),7
2026-01-01,Chhattisgarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),6
2026-03-01,Chhattisgarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),1
2026-04-01,Chhattisgarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),2
2026-05-01,Chhattisgarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),8
2026-06-01,Chhattisgarh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),2
2026-01-01,Chhattisgarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),35
2026-02-01,Chhattisgarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),38
2026-03-01,Chhattisgarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),52
2026-04-01,Chhattisgarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),53
2026-05-01,Chhattisgarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),67
2026-06-01,Chhattisgarh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),8
2026-02-01,Chhattisgarh,MARUTI SUZUKI INDIA LTD,Electric (EV),10
2026-03-01,Chhattisgarh,MARUTI SUZUKI INDIA LTD,Electric (EV),21
2026-04-01,Chhattisgarh,MARUTI SUZUKI INDIA LTD,Electric (EV),28
2026-05-01,Chhattisgarh,MARUTI SUZUKI INDIA LTD,Electric (EV),38
2026-06-01,Chhattisgarh,MARUTI SUZUKI INDIA LTD,Electric (EV),7
2026-05-01,Chhattisgarh,MERCEDES-BENZ AG,Electric (EV),2
2026-01-01,Chhattisgarh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),1
2026-01-01,Chhattisgarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),159
2026-02-01,Chhattisgarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),134
2026-03-01,Chhattisgarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),182
2026-04-01,Chhattisgarh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),169
