Month,State,Maker (legal entity),Powertrain,Registrations,Brand,Parent Group,Origin Country,Region,State Code,State or UT,Map Location,Month Name,Month Number,Quarter,Days Covered,Is Partial Month,Is EV
2026-05-01,Punjab,HYUNDAI MOTOR INDIA LTD,Petrol/Diesel/CNG/Hybrid,1866,Hyundai,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,HYUNDAI MOTOR INDIA LTD,Petrol/Diesel/CNG/Hybrid,1058,Hyundai,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,ISUZU MOTORS INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,2,Isuzu,Isuzu,Japan,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,ISUZU MOTORS INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,1,Isuzu,Isuzu,Japan,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,ISUZU MOTORS INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,4,Isuzu,Isuzu,Japan,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,ISUZU MOTORS INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,1,Isuzu,Isuzu,Japan,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-05-01,Punjab,ISUZU MOTORS INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,4,Isuzu,Isuzu,Japan,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,ISUZU MOTORS INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,1,Isuzu,Isuzu,Japan,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,JAGUAR LAND ROVER INDIA LIMITED,Petrol/Diesel/CNG/Hybrid,21,Jaguar Land Rover,Tata Motors,UK,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,JAGUAR LAND ROVER INDIA LIMITED,Petrol/Diesel/CNG/Hybrid,30,Jaguar Land Rover,Tata Motors,UK,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,JAGUAR LAND ROVER INDIA LIMITED,Petrol/Diesel/CNG/Hybrid,18,Jaguar Land Rover,Tata Motors,UK,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,JAGUAR LAND ROVER INDIA LIMITED,Petrol/Diesel/CNG/Hybrid,23,Jaguar Land Rover,Tata Motors,UK,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
